ID,SMILES,AV_Bit,AV
Ligand108,CC(NCC(=O)Nc1cc(c2C[C@H]3C[C@H]4[C@H](N(C)C)C(=C(C(=O)N)C(=O)[C@]4(C(=C3C(=O)c2c1O)O)O)O)N(C)C)(C)C,1,-4.924190023
Ligand109,C[N+](CCCCCCCCCCCCCCCC)(Cc1ccccc1)C,1,-4.915390302
Ligand110,OC1(c2ccc(cc2)Cl)CCN(Cc2c[nH]c3ccccc23)CC1,1,-4.915175191
Ligand111,Oc1c(cc(C2CNCc3sccc23)cc1)O,1,-4.9131255860000005
Ligand112,Oc1ccc([C@H]2Oc3cc(cc(O)c3C[C@H]2O)O)cc1O,1,-4.908329315
Ligand113,Fc1ccc(Nc2ncnc3cc(c(OCCCN4CCOCC4)cc23)OC)cc1Cl,1,-4.904847846
Ligand114,CCCN1CCc2cc(O)cc3c4c(O)c(ccc4C[C@@H]1c23)O,1,-4.902853483
Ligand115,C[C@@](C(=O)O)(Cc1cc(c(cc1)O)O)N,1,-4.896737912
Ligand116,COc1ccc(cc1C(=O)OC)Cl,1,-4.895449354
Ligand117,OCCNCCCCCCCCCCCCCC,1,-4.893807402
Ligand118,Oc1ccc([C@@H]([C@@H](C(=O)O)N)O)cc1O,1,-4.891166737
Ligand119,Cc1ccccc1N1CCN(CC1)CCc1nnc2CCCCn12,1,-4.8842876319999995
Ligand120,OCC(=O)[C@]1([C@H](C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C)O,1,-4.8834314039999995
Ligand121,Nc1cc(C(F)(F)F)ccc1S,1,-4.870138132
Ligand122,Oc1c(cc(c2cccnc12)I)I,1,-4.866221976
Ligand123,CC(c1cc(n(c2ccc(cc2)C)n1)NC(=O)Nc1ccc(c2ccccc12)OCCN1CCOCC1)(C)C,1,-4.8660058
Ligand124,[O-][N+](=O)c1ccc(c2ncccc12)O,1,-4.865302911000001
Ligand125,OC(=O)c1ccc(NC(=O)c2ccccc2)cc1O,1,-4.861752863
Ligand126,CN(CC/C=C/1\c2ccccc2C=Cc2ccccc12)C,1,-4.858436698
Ligand127,CC1=C(C(CCC1)(C)C)C=C/C(=C/C=C/C(=C/C(=O)Nc1ccc(cc1)O)/C)/C,1,-4.855772058
Ligand128,c1cccc2sc3ccccc3c12,1,-4.845025367
Ligand129,C[C@H]([C@@H](Cc1cc(c(cc1)O)O)C)Cc1ccc(c(O)c1)O,1,-4.831315668999999
Ligand130,CC(=O)[C@]1(C[C@@H](c2c(c3C(=O)c4ccccc4C(=O)c3c(O)c2C1)O)O[C@H]1C[C@@H]([C@@H]([C@H](C)O1)O)N)O,1,-4.831141089
Ligand131,Oc1cccc(C2=C3CCC(=N3)C(=c3ccc(=C(C4=NC(=C(c5ccc2[nH]5)c2cccc(O)c2)C=C4)c2cccc(O)c2)[nH]3)c2cccc(O)c2)c1,1,-4.8289477960000005
Ligand132,Oc1cccc2cccnc12,1,-4.828906234
Ligand133,Nc1cc(c(cc1)C)O,1,-4.823870583
Ligand134,OC(=O)c1cc(ccc1O)N,1,-4.823589999
Ligand135,Oc1ccc2C[C@@H]3c4c(cccc4c2c1O)CCN3C,1,-4.816939978
Ligand136,Clc1ccc2CCc3ccccc3N(CCCN3CCC(N4CCCCC4)(C(=O)N)CC3)c2c1,1,-4.815136305
Ligand137,O=[N+](c1cc(ccc1N)N)[O-],1,-4.812379826
Ligand138,O[C@@]1(O[C@@H]([C@@H]([C@H]2O[C@@]3(CC[C@]([C@H]4CC[C@]([C@@H]5O[C@@H]([C@H]6O[C@@]([C@@H](C[C@@H]6C)C)(O)C)C[C@@H]5OC5C[C@@H]([C@H]([C@H](C)O5)OC)OC)(C)O4)(C)O3)C[C@H](O)[C@H]2C)C)[C@@H]([C@@H](OC)[C@@H]1C)OC)CC(=O)[O-],1,-4.801174588
Ligand139,O=S(=O)(c1ccc(cc1)NC(=O)C)Nc1ccc([N+](=O)[O-])cc1,1,-4.798327282
Ligand140,CC(NCC(COc1ccc(NC(=O)C)cc1)O)C,1,-4.797795866
Ligand141,COCC(=O)O[C@@]1(CCc2c(ccc(F)c2)[C@@H]1C(C)C)CCN(CCCc1nc2c(cccc2)[nH]1)C,1,-4.787074429
Ligand142,N[C@H]([C@H](CCCCCCCCCCCCCCC)O)CO,1,-4.779920247
Ligand143,Oc1c(c2c(cc1)ccc(=O)o2)O,1,-4.767176753
